Date,Weight
2026-01-27,103.5
2026-01-28,102.1
2026-01-29,102.1
2026-01-30,102.4
2026-01-31,101.6
2026-02-01,102.3
2026-02-02,102.1
2026-02-03,101.9
2026-02-04,100.8
2026-02-05,101.3
2026-02-06,101.1
2026-02-07,101.3
2026-02-08,100.6
2026-02-09,101.2
2026-02-10,100.8
2026-02-11,100.2
2026-02-12,100.9
2026-02-13,101.3
2026-02-14,101.2
2026-02-15,100.7
2026-02-16,100.6
2026-02-17,100
2026-02-18,99.8
2026-02-19,100.2
2026-02-20,100.5
2026-02-21,100.2
2026-02-22,99.9
2026-02-23,99.4
2026-02-24,99.1
2026-02-25,99.2
2026-02-26,99.4
2026-02-27,100.5
2026-02-28,100.5
2026-03-01,99.8
2026-03-02,99.8
2026-03-03,99.6
2026-03-04,98.8
2026-03-05,99.6
2026-03-06,99.2
2026-03-07,99.2
2026-03-08,99.7
2026-03-09,99.8
2026-03-10,99.6
2026-03-11,99.5
2026-03-12,99
2026-03-13,99.2
2026-03-14,99.4
2026-03-15,99.5
2026-03-16,99.5
2026-03-17,98.6
2026-03-18,98.3
2026-03-19,98.3
2026-03-20,98.4
2026-03-21,98.4
2026-03-22,98.5
2026-03-23,98.2
2026-03-24,98.8
2026-03-25,98.5
2026-03-26,97.8
2026-03-27,98.5
2026-03-28,98.9
2026-03-29,98.8
2026-03-30,99.7
2026-04-01,98
2026-04-02,98.2
2026-04-05,97.8
2026-04-06,98.8
2026-04-07,98.1
2026-04-08,98.1
2026-04-11,98.5
2026-04-12,99
